Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Healthcare,ABBV,STRONG_BUY,STRONG_BUY,153.8,153.16,175.91,105.56,36.653957,11.009306,5.16,20.065231,0.264,0.70272005,2022-04-28 00:00:00,STRONG_BUY - 16|0|10,BUY - 14|2|10,NEUTRAL - 9|7|10,BUY - 15|1|10,Bullish  : 61.62,BUY,SELL,Bullish : 63.76,Bullish : 70.27,Strong Trend : 37.51,Bullish  : 54.16,Bullish : 6.77,Bullish : 1.35,Bullish : 2.42,Bullish : 2.19,60.03,156.39,4.196,13.97,AbbVie Inc.,Watchlist,100,1.52,2.1,15380.000000000002,buy,5.558,0.261,,,,502.701,
Industrials,SPCE,NEUTRAL,STRONG_SELL,6.28,6.02,52.76,5.14,,-4.8682175,-0.41,1.6666667,,0.35898,2022-02-23 00:00:00,SELL - 7|10|9,SELL - 4|12|10,SELL - 4|12|10,SELL - 3|13|10,Neutral : 50.08,SELL,SELL,Bullish : 45.07,Bullish : 36.53,Weak Trend : 12.96,Neutral : -11.46,Bearish : -0.2,Bearish : -0.28,Bearish : -0.06,Bearish : -0.06,54.72,6.62,-1.552,-1.29,Virgin Galactic Holdings. Inc.,Watchlist,100,4.67,3,628.0,hold,2.338,,5.159,-0.21327,-0.49657002,4.778,4.609
Consumer Cyclical,HYZN,STRONG_SELL,STRONG_SELL,2.95,2.94,11.37,2.82,,-16.38889,,1.8142681,,0.162,2021-11-12 00:00:00,SELL - 6|14|6,SELL - 6|10|10,NEUTRAL - 8|9|9,STRONG_SELL - 0|12|10,Bearish : 31.22,SELL,SELL,Oversold : 8.42,Oversold : 8.28,Weak Trend : 24.14,Bearish : -101.29,Bearish : -0.68,Bearish : -0.62,Bearish : -0.28,Bearish : -0.25,45.27,3.48,0,-0.18,Hyzon Motors Inc.,Watchlist,100,7.04,2.2,295.0,buy,1.796,,15.87,-0.19951999,-0.10028,2.897,14.456
Consumer Cyclical,RMO,STRONG_SELL,STRONG_SELL,0.45,0.45,7.77,0.44,0.8801942,-0.51511365,,0.19388366,,0.33661,2022-03-28 00:00:00,SELL - 6|14|6,SELL - 4|14|8,SELL - 3|14|9,SELL - 3|12|9,Bearish : 36.16,SELL,SELL,Oversold : 6.54,Oversold : 4.95,Strong Trend : 32.28,Bearish : -101.6,Bearish : -0.09,Bearish : -0.09,Bearish : -0.05,Bearish : -0.05,36.05,0.61,0.515,-0.88,Romeo Power. Inc.,Call,100,3.93,2.3,45.0,buy,0.892,,7.583,-0.21203,0.04225,9.671,5.605
Consumer Cyclical,KMX,SELL,STRONG_SELL,92.67,90.48,155.98,84.37,12.766221,12.659836,0.95,2.9356606,-0.239,1.0343,2022-03-30 00:00:00,SELL - 6|12|8,SELL - 6|12|8,BUY - 11|5|10,SELL - 1|15|10,Neutral : 49.53,SELL,SELL,Bullish : 31.48,Bullish : 30.66,Weak Trend : 15.74,Neutral : 4.08,Bearish : -1.25,Bearish : -5.75,Bearish : -0.16,Bearish : -0.04,46.75,100.26,7.259,7.32,CarMax Inc,Watchlist,100,5.99,2,9267.0,buy,0.64,-0.234,3.199,0.04013,0.23985,371.129,0.324
Communication Services,NFLX,SELL,STRONG_SELL,179.95,174.87,700.99,162.71,16.224867,13.747135,1.29,5.2047777,-0.064,0.83039004,2022-04-18 00:00:00,SELL - 6|10|10,STRONG_SELL - 1|16|9,NEUTRAL - 7|9|10,SELL - 2|14|10,Neutral : 48.8,SELL,SELL,Bullish : 31.09,Bullish : 29.79,Weak Trend : 17.28,Neutral : -15.51,Bearish : -4.02,Bearish : -10.98,Bearish : -1.51,Bearish : -1.35,51.83,189.08,11.091,13.09,Netflix. Inc.,Watchlist,100,0.66,2.7,17995.0,hold,13.525,-0.059,1.046,0.09078,0.3291,98.606,0.883
Financial Services,MS,NEUTRAL,STRONG_SELL,76.75,76.06,109.73,72.23,9.7995405,0.5003912,0,1.4066309,-0.11,0.64122003,2022-04-14 00:00:00,SELL - 6|10|10,SELL - 4|12|10,NEUTRAL - 8|8|10,SELL - 5|13|8,Neutral : 48.21,BUY,BUY,Bullish : 45.46,Bullish : 46.37,Weak Trend : 24.41,Neutral : 23.7,Bearish : -0.24,Bearish : -1.08,Bearish : -0.32,Bearish : -0.54,48.07,74.68,7.832,153.38,Morgan Stanley,Watchlist,100,2.09,,7675.0,none,324.61,-0.078,,,,335.26,
Consumer Cyclical,AMZN,SELL,STRONG_SELL,109.56,106.21,188.65,101.26,51.19626,41.033707,3.54,8.315749,,0.60701,2022-07-27 10:59:00,SELL - 6|10|10,SELL - 3|13|10,SELL - 3|13|10,SELL - 1|15|10,Neutral : 49.0,SELL,SELL,Bullish : 35.28,Bullish : 29.17,Weak Trend : 16.88,Neutral : -16.36,Bearish : -2.27,Bearish : -7.14,Bearish : -0.89,Bearish : -0.8,54.54,113.12,2.14,2.67,Amazon.com. Inc.,Watchlist,100,1.17,1.8,10956.0,buy,6.525,,0.96,0.03395,0.18045999,109.9,0.707
Technology,SHOP,OVERSOLD,STRONG_SELL,31.41,31.24,176.29,29.76,1.1635487,3.5856164,-21877,0.34689552,,0.71652,2022-04-26 00:00:00,SELL - 5|16|5,SELL - 3|15|8,SELL - 2|14|10,SELL - 2|14|10,Oversold : 14.89,SELL,SELL,Oversold : 0.13,Oversold : 0.14,Strong Trend : 36.12,Bearish : -111.54,Bearish : -257.2,Bearish : -354.09,Bearish : -82.31,Bearish : -47.89,9.82,291.45,26.995,8.76,Shopify Inc.,Watchlist,100,1.52,2.7,3141.0,hold,61.846,,12.152,0.0177,0.33246,10.54,11.365
Communication Services,GOOG,STRONG_SELL,STRONG_SELL,2181.62,2187.45,3042.0,2044.16,20.313036,16.543718,1.37,5.6580663,-0.083,0.65086,,SELL - 5|14|7,STRONG_SELL - 1|16|9,SELL - 2|15|9,SELL - 2|14|10,Bearish : 42.78,SELL,SELL,Oversold : 12.42,Oversold : 17.14,Weak Trend : 19.41,Bearish : -106.25,Bearish : -44.9,Bearish : -189.98,Bearish : -12.96,Bearish : -0.36,45.31,2314.46,107.4,131.87,Alphabet Inc.,Watchlist,100,1.21,1.5,218162.0,strong_buy,203.447,-0.063,2.871,0.15049,0.308,11.26,2.738
Financial Services,SOFI,NEUTRAL,NEUTRAL,5.41,5.27,24.65,4.82,,-18.033333,-0.29,1.0259814,,0.34104002,2021-11-10 00:00:00,SELL - 5|14|7,STRONG_BUY - 16|0|10,NEUTRAL - 8|9|9,SELL - 2|10|10,Bearish : 39.45,SELL,SELL,Oversold : 13.86,Oversold : 13.66,Weak Trend : 17.25,Bearish : -105.89,Bearish : -0.43,Bearish : -0.7,Bearish : -0.21,Bearish : -0.2,48.16,5.87,-1.769,-0.3,SoFi Technologies. Inc.,Watchlist,100,2.95,2.2,541.0,buy,0.597,,23.116,-0.05456,-0.124230005,89.309,22.195
Communication Services,CURI,STRONG_SELL,STRONG_SELL,1.7,1.69,14.95,1.42,,-4.146342,0.02,0.608229,,0.17933,2022-08-08 10:59:00,SELL - 5|14|7,SELL - 2|15|9,SELL - 2|15|9,SELL - 1|13|10,Bearish : 41.86,SELL,SELL,Oversold : 6.01,Oversold : 5.31,Strong Trend : 25.96,Bearish : -111.84,Bearish : -0.12,Bearish : -0.35,Bearish : -0.03,Bullish : 0.01,40.3,2.08,-0.948,-0.41,CuriosityStream Inc.,Call,100,4.77,2.3,170.0,buy,1.568,,2.213,-0.16422,-0.21485001,3.325,2.076
Technology,HPE,NEUTRAL,NEUTRAL,12.96,13.26,17.76,12.73,5.023256,5.944954,1.21,0.84035796,1.3,0.84219,2022-02-28 00:00:00,SELL - 5|14|7,BUY - 15|3|8,SELL - 2|14|10,STRONG_SELL - 0|16|10,Bearish : 34.2,SELL,SELL,Oversold : 12.04,Oversold : 12.23,Strong Trend : 26.67,Bearish : -153.29,Bearish : -0.71,Bearish : -1.1,Bearish : -0.31,Bearish : -0.25,34.08,14.07,2.58,2.18,Hewlett Packard Enterprise Comp,Watchlist,100,3.34,2.4,1296.0,buy,2.211,1.294,0.945,0.02575,0.20298,69.099,0.543
SPDR S&P Retail ETF,XRT,NEUTRAL,NEUTRAL,58.73,58.16,104.31,57.35,4.116781,,,,,,,SELL - 5|14|7,BUY - 12|4|10,SELL - 2|14|10,STRONG_SELL - 0|16|10,Bearish : 36.98,SELL,SELL,Oversold : 12.95,Oversold : 12.42,Weak Trend : 21.86,Bearish : -110.45,Bearish : -3.32,Bearish : -5.84,Bearish : -1.16,Bearish : -0.84,41.94,64.18,,,SPDR S&P Retail ETF,Index,100,,,5873.0,,,,,,,,
Technology,WDC,NEUTRAL,STRONG_SELL,43.42,44.83,72.15,41.63,9.083681,4.8351893,0.35,1.1885796,-0.873,0.83294,2022-04-27 00:00:00,SELL - 5|13|8,SELL - 6|10|10,STRONG_BUY - 16|1|9,STRONG_SELL - 0|16|10,Bearish : 28.99,BUY,SELL,Bullish : 20.61,Bullish : 20.59,Strong Trend : 37.05,Bearish : -183.13,Bearish : -4.56,Bearish : -3.65,Bearish : -2.09,Bearish : -2.11,42.09,47.59,4.78,8.98,Western Digital Corporation,Watchlist,100,1.75,2,4342.0,buy,8.003,-0.873,2.087,0.064959995,0.16605,59.763,1.105
Energy,XOM,NEUTRAL,SELL,87.55,85.64,105.57,52.1,,14.889456,0.45,2.3080778,1.007,0.56797004,2022-04-28 00:00:00,SELL - 5|11|10,SELL - 5|12|9,STRONG_BUY - 16|0|10,BUY - 13|4|9,Bearish : 43.46,BUY,SELL,Bullish : 31.31,Bullish : 29.55,Weak Trend : 21.99,Neutral : -35.22,Bearish : -5.77,Bullish : 0.58,Bearish : -1.86,Bearish : -1.98,41.79,92.74,-1.386,5.88,Exxon Mobil Corporation,Watchlist,100,1.45,2.5,8755.0,buy,2.629,1.003,1.072,0.06097,0.1559,26.929,0.739
Healthcare,OGN,SELL,SELL,34.25,33.75,39.48,28.42,5.732218,5.8848796,-1.28,,-0.451,0.75063,2021-11-11 00:00:00,SELL - 5|11|10,SELL - 4|14|8,BUY - 15|2|9,NEUTRAL - 6|7|9,Neutral : 45.91,SELL,SELL,Bullish : 27.55,Bullish : 34.77,Weak Trend : 20.58,Neutral : -15.17,Bearish : -0.41,Bearish : -1.61,Bearish : -0.22,Bearish : -0.22,48.7,35.6,5.975,5.82,Organon & Co.,Watchlist,100,4.35,2.5,3425.0,buy,2.906,-0.453,1.448,0.10925,0.67924005,,0.866
Industrials,UAL,NEUTRAL,STRONG_SELL,36.44,35.42,54.52,30.54,,19.280422,-0.51,2.1726687,,0.58945,2022-04-18 00:00:00,SELL - 5|11|10,SELL - 2|15|9,SELL - 2|14|10,SELL - 2|15|9,Bearish : 44.83,BUY,SELL,Bullish : 36.21,Bullish : 29.25,Weak Trend : 23.72,Neutral : -11.1,Bearish : -2.34,Bearish : -2.08,Bearish : -1.03,Bearish : -1.21,52.29,39.01,-10.198,1.89,United Airlines Holdings. Inc.,Watchlist,100,1.37,2.4,3644.0,buy,57.169,,1.038,-0.025880001,-0.44938,1111.976,0.952
Basic Materials,CLF,NEUTRAL,NEUTRAL,15.76,15.37,34.04,14.75,3.8693838,2.7125647,0.13,1.9722188,18.537,0.60046,2022-04-20 00:00:00,SELL - 5|11|10,NEUTRAL - 9|7|10,SELL - 4|13|9,SELL - 4|12|10,Bearish : 35.6,BUY,SELL,Bullish : 33.9,Bullish : 29.71,Strong Trend : 39.73,Bearish : -56.95,Bearish : -2.02,Bearish : -0.72,Bearish : -0.97,Bearish : -1.14,50.63,16.76,4.073,5.81,Cleveland-Cliffs Inc.,Watchlist,100,1.41,2.2,1576.0,buy,0.067,20.455,2.282,0.17875999,0.75231004,76.09,0.72
Technology,AMD,STRONG_SELL,STRONG_SELL,73.67,76.47,164.46,72.69,22.723625,22.056887,0.6,12.5118885,-0.453,0.64959,2022-04-25 00:00:00,SELL - 4|15|7,SELL - 2|15|9,SELL - 5|11|10,SELL - 1|15|10,Bearish : 27.6,SELL,SELL,Oversold : 6.15,Oversold : 9.16,Strong Trend : 27.25,Bearish : -160.89,Bearish : -10.16,Bearish : -13.44,Bearish : -4.21,Bearish : -3.66,37.63,83.56,3.242,3.34,Advanced Micro Devices. Inc.,Watchlist,100,0.34,2.2,7367.0,buy,3.008,-0.454,2.024,0.21327,0.47428,9.764,1.49
Technology,TSM,OVERSOLD,STRONG_SELL,77.0,81.75,145.0,76.18,19.274094,15.587045,2.05,0.19235334,0.451,0.17299,,SELL - 4|15|7,SELL - 1|15|10,SELL - 3|13|10,STRONG_SELL - 0|16|10,Oversold : 23.39,SELL,SELL,Oversold : 11.88,Oversold : 17.53,Weak Trend : 22.5,Oversold : -238.02,Bearish : -5.73,Bearish : -8.93,Bearish : -2.4,Bearish : -1.75,32.25,85.7,3.995,4.94,Taiwan Semiconductor Manufactur,CashAndSpread,100,1.69,2,7700.0,buy,232.298,0.451,,,,34.819,
Technology,AMAT,STRONG_SELL,STRONG_SELL,86.27,90.98,167.06,84.46,13.479687,9.748022,0.84,6.2833214,0.586,0.79559,2022-02-16 00:00:00,SELL - 4|15|7,SELL - 1|15|10,SELL - 3|13|10,SELL - 1|15|10,Bearish : 29.81,SELL,SELL,Oversold : 11.39,Oversold : 16.77,Strong Trend : 31.22,Bearish : -185.05,Bearish : -6.99,Bearish : -11.1,Bearish : -3.34,Bearish : -2.93,36.87,96.36,6.4,8.85,Applied Materials. Inc.,Watchlist,100,1.48,2.1,8627.0,buy,6.494,0.639,2.508,0.1991,0.56071997,48.419,1.647
Technology,NXPI,STRONG_SELL,STRONG_SELL,146.09,148.03,239.91,143.34,18.21571,10.302538,0.98,5.6242537,0.861,0.92460996,2022-07-25 20:00:00,SELL - 4|14|8,SELL - 6|11|9,BUY - 14|4|8,SELL - 1|15|10,Bearish : 31.43,SELL,SELL,Oversold : 11.23,Oversold : 11.76,Weak Trend : 22.4,Bearish : -133.16,Bearish : -15.3,Bearish : -13.23,Bearish : -6.14,Bearish : -5.76,37.15,161.15,8.02,14.18,NXP Semiconductors N.V.,Watchlist,100,2.35,2.2,14609.0,buy,10.218,0.984,1.854,0.09066,0.28899,156.405,1.268
Technology,HPQ,STRONG_SELL,STRONG_SELL,31.87,32.78,41.47,26.11,5.9793625,7.2762556,2.4,,0.017,0.77942,2022-02-23 00:00:00,SELL - 4|14|8,SELL - 3|14|9,SELL - 5|12|9,SELL - 4|13|9,Bearish : 31.01,SELL,SELL,Oversold : 5.96,Oversold : 6.7,Weak Trend : 21.5,Bearish : -175.47,Bearish : -1.7,Bearish : -3.39,Bearish : -0.8,Bearish : -0.61,32.6,35.06,5.33,4.38,HP Inc.,Watchlist,100,3.55,2.9,3187.0,hold,3.207,0.193,0.743,0.09852,,,0.4
Technology,CSCO,STRONG_SELL,STRONG_SELL,42.6,42.64,64.29,41.02,14.947369,12,1.97,4.375064,0.063,0.75209,2022-02-07 10:59:00,SELL - 4|14|8,SELL - 2|15|9,SELL - 3|14|9,STRONG_SELL - 1|16|9,Bearish : 40.99,SELL,BUY,Bullish : 23.92,Bullish : 21.73,Weak Trend : 15.69,Bearish : -114.26,Bearish : -1.0,Bearish : -1.48,Bearish : -0.44,Bearish : -0.37,47.27,41.48,2.85,3.55,Cisco Systems. Inc.,Watchlist,100,1.45,2.5,4260.0,buy,4.856,0.076,1.49,0.09498,0.29790002,25.985,1.23
Consumer Cyclical,LCID,STRONG_SELL,STRONG_SELL,17.0,17.16,57.75,13.25,,-15.044248,0.17,5.760759,,0.68732,2021-11-15 00:00:00,SELL - 4|14|8,SELL - 2|15|9,SELL - 2|14|10,STRONG_SELL - 0|12|10,Bearish : 42.91,SELL,SELL,Oversold : 14.4,Oversold : 16.15,Weak Trend : 15.13,Bearish : -88.79,Bearish : -0.64,Bearish : -2.22,Bearish : -0.24,Bearish : -0.1,42.94,19.37,-12.567,-1.13,Lucid Group. Inc.,Watchlist,100,5.67,2.4,1700.0,buy,3.788,,16.428,-0.20605,-1.0135399,56.498,15.819
Technology,EPAM,STRONG_SELL,STRONG_SELL,302.12,294.78,725.4,168.59,41.897102,27.047447,1.77,7.3244762,0.663,0.92961,2022-02-16 00:00:00,SELL - 4|14|8,SELL - 2|15|9,SELL - 3|13|10,SELL - 2|14|10,Neutral : 45.85,SELL,SELL,Oversold : 18.87,Oversold : 18.02,Weak Trend : 18.53,Bearish : -56.09,Bearish : -6.52,Bearish : -23.02,Bearish : -2.44,Bearish : -0.75,48.67,320.2,7.211,11.17,EPAM Systems. Inc.,Watchlist,100,1.85,1.7,30212.0,buy,25.434,0.644,2.973,0.109280005,0.21508,9.582,2.902
Industrials,CAT,NEUTRAL,STRONG_SELL,178.29,178.76,237.9,173.72,14.957214,12.798994,0.58,5.572259,0.005,0.7065,2022-07-28 06:30:00,SELL - 4|14|8,SELL - 2|14|10,BUY - 10|6|10,SELL - 3|13|10,Bearish : 29.69,BUY,SELL,Oversold : 19.71,Bullish : 20.35,Strong Trend : 33.24,Bearish : -100.78,Bearish : -17.61,Bearish : -7.19,Bearish : -6.83,Bearish : -6.87,38.87,191.72,11.92,13.93,Caterpillar. Inc.,Watchlist,100,2.01,2.4,17829.0,buy,12.14,0.032,1.441,0.06301,0.38554,219.828,0.863
SPDR S&P Oil & Gas Explor & Pro,XOP,NEUTRAL,SELL,120.92,119.48,170.62,71.48,2.7884881,-12092,,,,,,SELL - 4|13|9,SELL - 4|13|9,STRONG_BUY - 16|0|10,NEUTRAL - 9|9|8,Bearish : 34.55,BUY,SELL,Oversold : 19.96,Oversold : 19.89,Strong Trend : 37.91,Bearish : -85.26,Bearish : -17.56,Bearish : -0.96,Bearish : -6.38,Bearish : -6.65,40.34,131.67,,,SPDR S&P Oil & Gas Explor & Pro,Index,100,,,12092.0,,,,,,,,
SPDR S&P Telecom ETF,XTL,SELL,STRONG_SELL,78.19,77.77,103.94,74.18,,,,,,,,SELL - 4|13|9,SELL - 3|13|10,NEUTRAL - 7|9|10,SELL - 3|15|8,Neutral : 46.33,SELL,SELL,Oversold : 17.32,Bullish : 20.4,Weak Trend : 17.34,Neutral : -26.96,Bearish : -0.92,Bearish : -2.44,Bearish : -0.49,Bearish : -0.46,40.59,80.62,,,SPDR S&P Telecom ETF,Index,100,,,7819.0,,,,,,,,
SPDR Select Sector Fund - Consu,XLY,SELL,STRONG_SELL,140.01,137.48,215.06,133.04,2.1581502,,,,,,,SELL - 4|13|9,SELL - 3|13|10,SELL - 2|14|10,SELL - 2|15|9,Neutral : 46.34,SELL,SELL,Bullish : 28.35,Bullish : 24.65,Weak Trend : 19.39,Neutral : -29.44,Bearish : -3.3,Bearish : -6.98,Bearish : -1.34,Bearish : -1.29,50.76,145.33,,,SPDR Select Sector Fund - Consu,Index,100,,,14001.0,,,,,,,,
Financial Services,COF,NEUTRAL,STRONG_SELL,106.82,104.19,177.95,98.54,3.9949138,5.531849,-0.84,0.797694,-0.277,0.93272,2022-04-25 00:00:00,SELL - 4|13|9,SELL - 2|14|10,SELL - 5|11|10,SELL - 3|14|9,Neutral : 45.13,BUY,SELL,Bullish : 33.42,Bullish : 29.53,Weak Trend : 18.71,Neutral : -14.88,Bearish : -3.87,Bearish : -3.28,Bearish : -1.83,Bearish : -2.13,45.58,112.68,26.739,19.31,Capital One Financial Corporati,Watchlist,100,2.01,2.2,10682.0,buy,67.178,-0.2,,0.026689999,0.19518,,
Technology,CTSH,NEUTRAL,STRONG_SELL,68.03,67.49,93.47,65.24,19.190409,15.050885,1.55,3.0933974,0.823,0.94297,2022-02-01 00:00:00,SELL - 4|12|10,SELL - 3|14|9,SELL - 3|13|10,SELL - 4|15|7,Neutral : 45.35,BUY,SELL,Bullish : 21.28,Bullish : 24.62,Weak Trend : 23.29,Neutral : -25.35,Bearish : -0.89,Bearish : -2.25,Bearish : -0.52,Bearish : -0.58,50.97,70.37,3.545,4.52,Cognizant Technology Solutions ,Watchlist,100,2.01,2.4,6803.0,buy,5.184,0.853,2.08,0.1009,0.18722999,13.802,1.866
